m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;blockOfFlats;48.5;2.0;5.0;12.0;1985.0;53.3781463;14.6561581;08.lip;24.0;0.272;0.047;0.373;0.094;0.028;;0.039;condominium;concreteSlab;;no;yes;yes;no;yes;415000
szczecin;blockOfFlats;56.0;3.0;5.0;5.0;2023.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;no;no;yes;no;no;445000
szczecin;blockOfFlats;59.0;3.0;5.0;5.0;2023.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;no;no;yes;no;no;465000
szczecin;blockOfFlats;38.5;2.0;6.0;10.0;1980.0;53.43830545;14.55273624;sty.75;30.0;0.214;0.253;0.219;0.189;0.162;0.788;0.174;cooperative;concreteSlab;;no;no;yes;no;no;389999
szczecin;blockOfFlats;30.0;1.0;;4.0;1940.0;53.42226607;14.53244519;sty.89;17.0;0.347;0.103;0.396;0.906;0.284;0.276;0.267;condominium;brick;premium;no;no;no;no;yes;320000
szczecin;blockOfFlats;27.gru;1.0;4.0;5.0;1980.0;53.4367354;14.5687774;sty.57;17.0;0.204;0.915;0.283;0.249;0.018;0.947;0.033;condominium;concreteSlab;premium;no;no;yes;no;no;270000
szczecin;blockOfFlats;28.13;1.0;;5.0;1965.0;53.43287621;14.54375267;sty.55;80.0;0.378;0.471;0.327;0.319;0.04;0.341;0.186;condominium;concreteSlab;premium;no;no;no;no;yes;319500
szczecin;blockOfFlats;49.2;2.0;7.0;10.0;1987.0;53.38007228;14.66314316;sie.31;12.0;0.378;0.549;0.195;0.445;0.277;;0.251;cooperative;concreteSlab;;no;yes;yes;no;yes;425000
szczecin;tenement;61.45;2.0;;4.0;1905.0;53.44584623;14.5420926;lut.79;10.0;0.345;0.862;0.104;0.148;0.14;0.847;0.104;condominium;brick;premium;no;no;no;no;yes;529000
szczecin;blockOfFlats;78.32;4.0;3.0;3.0;2018.0;53.47224314;14.56127649;maj.43;0.0;1.265;2.056;0.869;0.922;0.823;1.557;1.205;condominium;;premium;yes;no;yes;no;no;909000
szczecin;blockOfFlats;63.0;3.0;;4.0;1975.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;no;yes;no;no;yes;579000
szczecin;blockOfFlats;54.26;2.0;1.0;3.0;2008.0;53.3574339;14.6004777;lip.79;0.0;0.662;3.043;0.952;0.536;1.159;;01.sty;condominium;brick;premium;yes;yes;no;no;yes;599000
szczecin;blockOfFlats;36.67;2.0;;3.0;1930.0;53.4492419;14.50149167;kwi.88;11.0;0.229;0.834;0.11;0.596;0.292;2.087;0.125;condominium;brick;premium;no;no;no;no;no;295000
szczecin;tenement;65.0;3.0;2.0;4.0;1930.0;53.4186337;14.5482692;0.99;9.0;0.36;0.338;0.312;0.623;0.385;1.112;0.377;condominium;brick;premium;no;no;no;no;yes;499000
szczecin;blockOfFlats;60.44;3.0;;4.0;1960.0;53.42410635;14.53809642;sty.52;25.0;0.092;0.508;0.205;0.614;0.159;0.641;0.16;condominium;brick;low;no;no;no;no;yes;435000
szczecin;blockOfFlats;77.7;4.0;2.0;3.0;2009.0;53.4538212;14.6692962;lip.93;0.0;;;;kwi.96;4.806;;4.618;condominium;brick;premium;yes;yes;no;no;no;748000
szczecin;blockOfFlats;33.0;2.0;;4.0;2000.0;53.3675846;14.6444151;sie.31;6.0;0.525;0.323;0.744;0.952;0.516;;0.272;cooperative;brick;premium;yes;yes;no;no;no;370000
szczecin;blockOfFlats;51.8;3.0;1.0;11.0;1980.0;53.42161413;14.52361457;lut.48;6.0;0.425;0.494;0.781;1.032;0.479;0.565;0.037;cooperative;concreteSlab;premium;no;yes;yes;no;yes;489999
szczecin;;71.03;3.0;1.0;1.0;2015.0;53.47718571;14.53451553;cze.23;0.0;1.254;2.509;1.128;0.825;0.793;3.325;0.754;condominium;brick;premium;yes;yes;no;no;no;769999
szczecin;tenement;103.0;4.0;3.0;4.0;1920.0;53.42742869;14.53226104;sty.95;18.0;0.202;0.558;0.103;0.581;0.049;0.776;0.079;condominium;brick;premium;yes;yes;no;no;yes;798000
szczecin;blockOfFlats;77.0;3.0;;2.0;1906.0;53.44524123;14.54830179;lut.57;15.0;0.517;0.556;0.316;0.275;0.16;1.082;0.081;condominium;brick;premium;no;no;no;no;yes;660000
szczecin;tenement;46.52;2.0;4.0;4.0;1930.0;53.42523986;14.53791809;sty.54;32.0;0.186;0.556;0.332;0.57;0.261;0.592;0.18;condominium;brick;premium;no;no;;no;no;450000
szczecin;blockOfFlats;53.0;3.0;1.0;4.0;1983.0;53.3776968;14.65147083;lip.86;16.0;0.251;0.271;0.213;0.132;0.315;;0.211;cooperative;concreteSlab;premium;no;no;;no;no;551000
szczecin;blockOfFlats;29.0;2.0;3.0;4.0;1970.0;53.45231428;14.56748032;mar.24;14.0;0.125;0.307;0.18;0.275;0.17;1.363;0.154;cooperative;concreteSlab;premium;no;no;;no;no;330000
szczecin;blockOfFlats;33.19;2.0;;3.0;2023.0;53.3938876;14.48103169;cze.23;0.0;01.wrz;3.442;0.963;1.806;0.848;4.423;0.892;condominium;;premium;no;no;no;no;no;435500
szczecin;tenement;38.3;2.0;1.0;5.0;1940.0;53.42016;14.48711;kwi.91;8.0;0.232;0.572;0.459;0.734;0.275;2.949;0.3;condominium;brick;premium;no;no;no;no;yes;330000
szczecin;blockOfFlats;48.0;3.0;2.0;10.0;1970.0;53.45514268;14.4975412;maj.49;10.0;0.327;1.541;0.113;0.16;0.488;2.623;0.064;condominium;concreteSlab;premium;no;no;yes;no;no;550000
szczecin;blockOfFlats;35.0;1.0;;4.0;1990.0;53.36511591;14.65778165;09.gru;9.0;0.204;1.148;0.207;0.159;0.307;;0.329;condominium;brick;premium;no;yes;no;no;no;420000
szczecin;tenement;51.5;3.0;3.0;4.0;1930.0;53.43217535;14.54133302;sty.63;75.0;0.203;0.563;0.283;0.241;0.074;0.322;0.057;condominium;brick;premium;no;no;;no;no;509000
szczecin;blockOfFlats;69.07;3.0;3.0;3.0;2020.0;53.474167;14.537222;maj.86;1.0;0.888;2.189;0.795;0.494;0.598;3.013;0.662;condominium;;premium;yes;yes;yes;no;no;725000
szczecin;blockOfFlats;60.0;3.0;1.0;5.0;1960.0;53.43248615;14.55431345;01.sty;55.0;0.206;0.285;0.098;0.215;0.066;0.599;0.031;cooperative;brick;premium;no;no;yes;no;no;520000
